date,selection,odds,result,ou_line,ou_odds,ou_result,total_points,location
2012-03-28,SEA,-140,1,7.0,-110,-3.0,4,home
2012-03-28,OAK,120,0,7.0,-110,-3.0,4,away
2012-03-28,OAK,120,0,7.0,-110,-3.0,4,home
2012-03-28,SEA,-140,1,7.0,-110,-3.0,4,away
2012-03-29,SEA,-108,0,8.5,105,-3.5,5,home
2012-03-29,OAK,-112,1,8.5,-125,-3.5,5,away
2012-03-29,OAK,-112,1,8.5,105,-3.5,5,home
2012-03-29,SEA,-108,0,8.5,-125,-3.5,5,away
2012-04-04,STL,160,1,7.0,105,-2.0,5,away
2012-04-04,MIA,-180,0,7.0,-125,-2.0,5,home
2012-04-04,STL,160,1,7.0,-125,-2.0,5,home
2012-04-04,MIA,-180,0,7.0,105,-2.0,5,away
2012-04-05,PHI,-155,1,7.0,105,-6.0,1,home
2012-04-05,NYM,-111,1,7.0,-115,-6.0,1,away
2012-04-05,PIT,135,0,7.0,105,-6.0,1,home
2012-04-05,PHI,-155,1,7.0,-125,-6.0,1,away
2012-04-05,PIT,135,0,7.0,-125,-6.0,1,away
2012-04-05,WSH,-139,1,6.5,-130,-3.5,3,away
2012-04-05,SD,135,0,6.0,-120,2.0,8,away
2012-04-05,CLE,-102,0,7.0,-130,4.0,11,home
2012-04-05,TOR,-118,1,7.0,110,4.0,11,away
2012-04-05,CHC,119,0,6.5,110,-3.5,3,home
2012-04-05,MIA,110,0,7.5,105,-3.5,4,away
2012-04-05,LAD,-155,1,6.0,100,2.0,8,home
2012-04-05,CIN,-130,1,7.5,-125,-3.5,4,home
2012-04-05,ATL,-109,0,7.0,-105,-6.0,1,home
2012-04-05,SD,135,0,6.0,100,2.0,8,home
2012-04-05,LAD,-155,1,6.0,-120,2.0,8,away
2012-04-05,NYM,-111,1,7.0,-105,-6.0,1,home
2012-04-05,ATL,-109,0,7.0,-115,-6.0,1,away
2012-04-05,DET,-144,1,7.0,-120,-2.0,5,home
2012-04-05,WSH,-139,1,6.5,110,-3.5,3,home
2012-04-05,CHC,119,0,6.5,-130,-3.5,3,away
2012-04-05,BOS,124,0,7.0,100,-2.0,5,away
2012-04-05,CIN,-130,1,7.5,105,-3.5,4,away
2012-04-05,TOR,-118,1,7.0,-130,4.0,11,home
2012-04-05,CLE,-102,0,7.0,110,4.0,11,away
2012-04-05,BOS,124,0,7.0,-120,-2.0,5,home
2012-04-05,DET,-144,1,7.0,100,-2.0,5,away
2012-04-05,MIA,110,0,7.5,-125,-3.5,4,home
2012-04-06,OAK,-152,0,6.5,-110,3.5,10,home
2012-04-06,TB,110,1,7.0,-105,6.0,13,home
2012-04-06,NYY,-130,0,7.0,-115,6.0,13,away
2012-04-06,SEA,132,1,6.5,-110,3.5,10,home
2012-04-06,OAK,-152,0,6.5,-110,3.5,10,away
2012-04-06,LAD,103,1,6.0,-115,0.0,6,home
2012-04-06,SD,-123,0,6.0,-105,0.0,6,away
2012-04-06,SEA,132,1,6.5,-110,3.5,10,away
2012-04-06,CWS,164,0,9.5,100,-4.5,5,home
