date,selection,odds,result,spread_line,spread_odds,spread_result,ou_line,ou_odds,ou_result,total_points,location
2012-10-30,Cleveland,-246.0,1,-5.83,-110.33,15.83,190.33,-110.17,-12.330000000000013,178.0,home
2012-10-30,Washington,209.0,0,5.83,-108.0,-15.83,190.33,-108.17,-12.330000000000013,178.0,away
2012-10-30,Miami,-270.0,1,-6.58,-108.17,19.58,186.58,-109.33,40.41999999999999,227.0,home
2012-10-30,Boston,234.8,0,6.58,-108.5,-19.58,186.58,-107.33,40.41999999999999,227.0,away
2012-10-30,L.A. Lakers,-492.0,0,-8.75,-109.5,0.75,186.0,-109.17,4.0,190.0,home
2012-10-30,Dallas,394.6,1,8.75,-107.17,-0.75,186.0,-107.5,4.0,190.0,away
2012-10-31,New Orleans,258.2,0,6.92,-109.33,-10.92,187.08,-109.67,6.9199999999999875,194.0,home
2012-10-31,Toronto,50.0,0,1.92,-110.5,-3.92,189.75,-108.5,-11.75,178.0,home
2012-10-31,Indiana,-117.75,1,-1.92,-107.83,3.92,189.75,-109.83,-11.75,178.0,away
2012-10-31,Philadelphia,109.75,1,1.25,-107.83,7.75,197.83,-110.0,-38.83000000000001,159.0,home
2012-10-31,Denver,-127.5,0,-1.25,-110.5,-7.75,197.83,-108.33,-38.83000000000001,159.0,away
2012-10-31,Houston,117.0,1,2.5,-109.67,6.5,192.58,-108.5,8.419999999999987,201.0,away
2012-10-31,Chicago,-269.0,1,-6.67,-106.67,12.67,190.75,-108.67,-10.75,180.0,home
2012-10-31,Sacramento,234.2,0,6.67,-110.0,-12.67,190.75,-108.0,-10.75,180.0,away
2012-10-31,Detroit,-132.5,0,-2.5,-107.33,-6.5,192.58,-108.17,8.419999999999987,201.0,home
2012-10-31,San Antonio,-302.0,1,-6.92,-107.33,10.92,187.08,-107.0,6.9199999999999875,194.0,away
2012-10-31,Utah,-383.0,1,-8.17,-108.67,27.17,193.5,-108.67,13.5,207.0,home
2012-10-31,Dallas,319.6,0,8.17,-108.0,-27.17,193.5,-108.0,13.5,207.0,away
2012-10-31,Phoenix,-130.5,0,-2.33,-109.17,0.33000000000000007,202.42,-107.83,-30.419999999999987,172.0,home
2012-10-31,L.A. Clippers,-174.4,1,-4.33,-107.67,13.33,187.67,-109.83,5.3300000000000125,193.0,home
2012-10-31,Memphis,157.0,0,4.33,-109.0,-13.33,187.67,-106.83,5.3300000000000125,193.0,away
2012-10-31,Portland,113.25,1,2.5,-108.33,7.5,191.75,-109.67,30.25,222.0,home
2012-10-31,L.A. Lakers,-131.25,0,-2.5,-110.0,-7.5,191.75,-108.67,30.25,222.0,away
