date,selection,odds,result,ou_line,ou_odds,ou_result,total_points,location
2022-10-11,NYR,-130,1,5.5,-110,-1.5,4,home
2022-10-11,TB,130,0,5.5,-110,-1.5,4,away
2022-10-11,LA,-120,0,6.0,-110,1.0,7,home
2022-10-11,VGK,120,1,6.0,-110,1.0,7,away
2022-10-12,VAN,190,0,6.5,-110,1.5,8,away
2022-10-12,EDM,-190,1,6.5,-110,1.5,8,home
2022-10-12,SEA,115,0,5.5,-110,3.5,9,away
2022-10-12,CHI,430,0,6.5,-110,0.5,7,away
2022-10-12,COL,-430,1,6.5,-110,0.5,7,home
2022-10-12,ANA,-115,1,5.5,-110,3.5,9,home
2022-10-12,MTL,260,1,6.5,-110,0.5,7,home
2022-10-12,CBJ,292,0,6.5,-110,-1.5,5,away
2022-10-12,CAR,-292,1,6.5,-110,-1.5,5,home
2022-10-12,BOS,160,1,6.0,-110,1.0,7,away
2022-10-12,WAS,-160,0,6.0,-110,1.0,7,home
2022-10-12,TOR,-260,0,6.5,-110,0.5,7,away
2022-10-13,NYR,125,1,6.0,-110,4.0,10,away
2022-10-13,SEA,178,1,6.0,-110,-1.0,5,away
2022-10-13,LA,-178,0,6.0,-110,-1.0,5,home
2022-10-13,CHI,365,0,6.5,-110,-5.5,1,away
2022-10-13,VGK,-365,1,6.5,-110,-5.5,1,home
2022-10-13,COL,140,0,6.5,-110,1.5,8,away
2022-10-13,CGY,-140,1,6.5,-110,1.5,8,home
2022-10-13,DAL,135,1,5.5,-110,-0.5,5,away
2022-10-13,NSH,-135,0,5.5,-110,-0.5,5,home
2022-10-13,MIN,-125,0,6.0,-110,4.0,10,home
2022-10-13,NJ,-125,0,6.0,-110,1.0,7,away
2022-10-13,TOR,-220,1,7.0,-110,-2.0,5,home
2022-10-13,FLA,-145,1,6.0,-110,-2.0,4,away
2022-10-13,NYI,145,0,6.0,-110,-2.0,4,home
2022-10-13,OTT,-120,0,6.5,-110,-1.5,5,away
2022-10-13,BUF,120,1,6.5,-110,-1.5,5,home
2022-10-13,PHI,125,1,6.0,-110,1.0,7,home
2022-10-13,ARI,420,0,6.5,-110,1.5,8,away
2022-10-13,PIT,-420,1,6.5,-110,1.5,8,home
2022-10-13,WAS,220,0,7.0,-110,-2.0,5,away
2022-10-14,SJ,195,0,6.0,-110,-3.0,3,home
2022-10-14,CAR,-195,1,6.0,-110,-3.0,3,away
2022-10-14,NYR,145,0,6.5,-110,-1.5,5,away
2022-10-14,WPG,-145,1,6.5,-110,-1.5,5,home
2022-10-14,CBJ,210,0,6.0,-110,1.0,7,home
2022-10-14,MTL,165,0,6.5,-110,-3.5,3,away
2022-10-14,DET,-165,1,6.5,-110,-3.5,3,home
2022-10-14,TB,-210,1,6.0,-110,1.0,7,away
2022-10-15,STL,-267,1,6.5,-110,0.5,7,home
2022-10-15,CBJ,267,0,6.5,-110,0.5,7,away
2022-10-15,MIN,-170,0,6.0,-110,7.0,13,home
2022-10-15,LA,170,1,6.0,-110,7.0,13,away
2022-10-15,DAL,-125,1,5.5,-110,0.5,6,home
2022-10-15,NSH,125,0,5.5,-110,0.5,6,away
2022-10-15,CGY,135,1,7.0,-110,0.0,7,away
2022-10-15,ANA,170,0,5.5,-110,2.5,8,away
2022-10-15,SJ,-140,0,6.0,-110,1.0,7,home
2022-10-15,CHI,140,1,6.0,-110,1.0,7,away
2022-10-15,SEA,130,0,6.5,-110,0.5,7,home
