date,a__team,h__team,a__goals_p1,a__goals_p2,a__goals_p3,a__goals_ot,a__goals_total,h__goals_p1,h__goals_p2,h__goals_p3,h__goals_ot,h__goals_total,moneyline,fav,over_under
2022-10-11,TB,NYR,0,1,0,0,1,0,1,2,0,3,-130,Home,5.5
2022-10-11,VGK,LA,0,1,3,0,4,1,0,2,0,3,-120,Home,6
2022-10-12,BOS,WAS,2,1,2,0,5,0,2,0,0,2,-160,Home,6
2022-10-12,CBJ,CAR,0,1,0,0,1,0,2,2,0,4,-292,Home,6.5
2022-10-12,TOR,MTL,1,1,1,0,3,0,2,2,0,4,-260,Away,6.5
2022-10-12,CHI,COL,1,0,1,0,2,2,2,1,0,5,-430,Home,6.5
2022-10-12,SEA,ANA,1,2,1,0,4,1,1,2,1,5,-115,Home,5.5
2022-10-12,VAN,EDM,2,1,0,0,3,0,3,2,0,5,-190,Home,6.5
2022-10-13,ARI,PIT,0,1,1,0,2,3,1,2,0,6,-420,Home,6.5
2022-10-13,NJ,PHI,1,0,1,0,2,1,2,2,0,5,-125,Away,6
2022-10-13,OTT,BUF,1,0,0,0,1,0,2,2,0,4,-120,Away,6.5
2022-10-13,FLA,NYI,0,1,2,0,3,0,0,1,0,1,-145,Away,6
2022-10-13,WAS,TOR,2,0,0,0,2,1,1,1,0,3,-220,Home,7
2022-10-13,NYR,MIN,3,1,3,0,7,0,1,2,0,3,-125,Home,6
2022-10-13,DAL,NSH,2,1,1,0,4,0,0,1,0,1,-135,Home,5.5
2022-10-13,COL,CGY,1,0,2,0,3,1,2,2,0,5,-140,Home,6.5
2022-10-13,CHI,VGK,0,0,0,0,0,0,1,0,0,1,-365,Home,6.5
2022-10-13,SEA,LA,1,2,1,0,4,1,0,0,0,1,-178,Home,6
2022-10-14,MTL,DET,0,0,0,0,0,0,0,3,0,3,-165,Home,6.5
2022-10-14,TB,CBJ,3,1,1,0,5,2,0,0,0,2,-210,Away,6
2022-10-14,NYR,WPG,0,0,1,0,1,1,0,3,0,4,-145,Home,6.5
2022-10-14,CAR,SJ,0,1,1,0,2,1,0,0,0,1,-195,Away,6
2022-10-15,FLA,BUF,2,2,0,0,4,2,1,0,0,3,-190,Away,7
2022-10-15,VAN,PHI,2,0,0,0,2,0,2,1,0,3,-170,Away,6
2022-10-15,ARI,BOS,0,1,2,0,3,2,1,3,0,6,-355,Home,6.5
2022-10-15,DET,NJ,0,4,1,0,5,1,1,0,0,2,-178,Home,6.5
2022-10-15,MTL,WAS,0,1,0,0,1,0,3,0,0,3,-305,Home,6.5
2022-10-15,OTT,TOR,1,0,1,0,2,0,1,2,0,3,-250,Home,6.5
2022-10-15,TB,PIT,1,0,1,0,2,1,1,4,0,6,-175,Home,6.5
2022-10-15,ANA,NYI,0,0,1,0,1,2,3,2,0,7,-170,Home,5.5
2022-10-15,CBJ,STL,0,2,0,0,2,1,1,3,0,5,-267,Home,6.5
2022-10-15,LA,MIN,4,2,1,0,7,2,2,2,0,6,-170,Home,6
2022-10-15,NSH,DAL,0,1,0,0,1,1,2,2,0,5,-125,Home,5.5
2022-10-15,CGY,EDM,4,0,0,0,4,1,2,0,0,3,-135,Home,7
2022-10-15,CHI,SJ,0,3,2,0,5,2,0,0,0,2,-140,Home,6
2022-10-15,VGK,SEA,2,3,0,0,5,0,0,2,0,2,-130,Away,6.5
2022-10-17,ANA,NYR,1,1,2,0,4,2,3,1,0,6,-250,Home,6
2022-10-17,ARI,TOR,1,1,2,0,4,0,0,2,0,2,-550,Home,7
2022-10-17,FLA,BOS,0,1,2,0,3,1,1,3,0,5,-135,Away,6.5
2022-10-17,LA,DET,2,1,1,1,5,1,1,2,0,4,-145,Away,6.5
2022-10-17,PIT,MTL,0,2,0,0,2,0,0,2,1,3,-260,Away,7
2022-10-17,VAN,WAS,1,3,0,0,4,1,1,4,0,6,-135,Home,6
2022-10-17,COL,MIN,2,1,3,0,6,1,1,1,0,3,-125,Away,6.5
2022-10-17,WPG,DAL,1,0,0,0,1,1,2,1,0,4,-145,Home,6
2022-10-17,CAR,SEA,1,3,1,0,5,0,1,0,0,1,-170,Away,6.5
2022-10-18,ANA,NJ,2,0,0,0,2,0,2,2,0,4,-195,Home,6.5
2022-10-18,BOS,OTT,1,4,0,0,5,3,3,1,0,7,-130,Home,6
2022-10-18,PHI,TB,0,1,2,0,3,0,2,0,0,2,-320,Home,6
2022-10-18,VAN,CBJ,2,0,1,0,3,0,1,2,1,4,-115,Away,6
2022-10-18,SJ,NYI,1,1,0,0,2,0,3,2,0,5,-195,Home,5.5
2022-10-18,BUF,EDM,1,2,1,0,4,1,0,1,0,2,-235,Home,7
2022-10-18,VGK,CGY,2,0,0,0,2,0,2,1,0,3,-165,Home,6.5
2022-10-18,LA,NSH,0,1,2,1,4,1,2,0,0,3,-178,Home,6
2022-10-19,PHI,FLA,1,1,1,0,3,2,0,2,0,4,-365,Home,6.5
2022-10-19,WPG,COL,2,1,0,1,4,0,3,0,0,3,-240,Home,6.5
2022-10-19,STL,SEA,3,0,0,1,4,1,2,0,0,3,-140,Away,6
2022-10-20,ANA,BOS,0,1,0,0,1,0,1,0,1,2,-220,Home,6.5
2022-10-20,ARI,MTL,0,0,2,0,2,3,2,1,0,6,-178,Home,6.5
2022-10-20,DAL,TOR,1,0,1,0,2,0,1,1,1,3,-190,Home,6.5
2022-10-20,LA,PIT,0,0,1,0,1,3,1,2,0,6,-195,Home,6.5
2022-10-20,NSH,CBJ,2,1,0,0,3,0,1,4,0,5,-155,Away,6.5
2022-10-20,SJ,NYR,1,1,0,1,3,0,2,0,0,2,-292,Home,6.5
2022-10-20,WAS,OTT,2,0,0,0,2,0,2,3,0,5,0,Even,6.5
2022-10-20,NJ,NYI,0,2,2,0,4,0,0,1,0,1,-155,Home,6.5
2022-10-20,VAN,MIN,2,1,0,0,3,2,0,1,1,4,-180,Home,6.5
2022-10-20,CAR,EDM,0,2,2,0,4,1,2,3,0,6,-115,Home,6.5
2022-10-20,BUF,CGY,3,1,2,0,6,1,1,1,0,3,-292,Home,6.5
2022-10-20,WPG,VGK,0,1,1,0,2,4,0,1,0,5,-240,Home,7
2022-10-21,TB,FLA,1,0,1,1,3,1,1,0,0,2,-115,Home,6.5
2022-10-21,DET,CHI,2,1,0,0,3,0,1,2,1,4,-120,Away,6.5
2022-10-21,SEA,COL,0,2,1,0,3,0,1,1,0,2,-240,Home,6.5
2022-10-22,MIN,BOS,1,1,1,0,3,2,1,0,1,4,0,Even,6.5
2022-10-22,SJ,NJ,0,1,0,0,1,0,2,0,0,2,-210,Home,6.5
2022-10-22,ARI,OTT,0,2,0,0,2,2,1,3,0,6,-250,Home,6.5
